Date,Price,Open,High,Low,Vol.,Change %
Nov 01, 2016,48.14,48.72,49.26,47.72,462.80,-0.33%
Oct 31, 2016,48.3,49.41,49.72,47.98,32.21,-2.84%
Oct 28, 2016,49.71,50.41,50.58,49.31,94.84,-1.51%
Oct 27, 2016,50.47,50.05,50.9,49.83,138.09,0.98%
Oct 26, 2016,49.98,50.26,50.69,49.65,304.52,-1.59%
Oct 25, 2016,50.79,51.44,51.83,50.22,237.73,-1.30%
Oct 24, 2016,51.46,51.89,52.01,50.5,277.24,-0.62%
Oct 21, 2016,51.78,51.4,51.94,51.12,249.16,0.78%
Oct 20, 2016,51.38,52.6,52.72,51.17,279.31,-2.45%
Oct 19, 2016,52.67,52.13,53.14,52.09,292.95,1.92%
Oct 18, 2016,51.68,51.72,52.15,51.25,274.17,0.31%
Oct 17, 2016,51.52,51.93,52.29,51.16,247.03,-0.83%
Oct 14, 2016,51.95,52.06,52.55,51.5,248.44,-0.15%
Oct 13, 2016,52.03,51.6,52.15,50.92,310.65,0.42%
Oct 12, 2016,51.81,52.48,52.87,51.61,254.73,-1.14%
Oct 11, 2016,52.41,53.11,53.32,52.12,373.85,-1.37%
Oct 10, 2016,53.14,51.63,53.73,51.3,334.27,2.33%
Oct 07, 2016,51.93,52.72,52.84,51.33,310.02,-1.10%
Oct 06, 2016,52.51,51.76,52.75,51.32,293.87,1.25%
Oct 05, 2016,51.86,51.22,52.09,51.22,302.09,1.95%
Oct 04, 2016,50.87,50.93,51.55,50.34,269.27,-0.04%
Oct 03, 2016,50.89,50.02,51.14,49.74,284.26,3.73%
Sep 30, 2016,49.06,49.18,49.25,48.21,26.94,-0.37%
Sep 29, 2016,49.24,48.87,49.81,47.99,114.83,1.13%
Sep 28, 2016,48.69,46.14,48.96,45.7,188.67,5.92%
Sep 27, 2016,45.97,47.06,47.28,45.63,241.18,-2.91%
Sep 26, 2016,47.35,46.05,47.66,45.74,208.15,3.18%
Sep 23, 2016,45.89,47.42,48.26,45.65,306.86,-3.69%
Sep 22, 2016,47.65,46.99,47.83,46.99,290.33,1.75%
Sep 21, 2016,46.83,46.45,47.14,46.38,249.08,2.07%
Sep 20, 2016,45.88,45.91,46.3,45.09,298.80,-0.15%
Sep 19, 2016,45.95,46.01,46.93,45.85,209.91,0.39%
Sep 16, 2016,45.77,46.31,46.41,45.48,226.32,-1.76%
Sep 15, 2016,46.59,46.06,47,45.67,320.72,1.61%
Sep 14, 2016,45.85,47.33,47.48,45.7,332.96,-2.65%
Sep 13, 2016,47.1,48.17,48.22,46.96,280.02,-2.52%
